interval	nofgenes
0.00	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.10	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.20	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.30	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.40	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.50	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.60	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	1
0.70	1
0.71	2
0.72	2
0.73	3
0.74	3
0.75	4
0.76	4
0.77	4
0.78	4
0.79	6
0.80	7
0.81	7
0.82	7
0.83	8
0.84	10
0.85	12
0.86	14
0.87	14
0.88	15
0.89	16
0.90	23
0.91	25
0.92	28
0.93	33
0.94	37
0.95	39
0.96	42
0.97	48
0.98	53
0.99	54
1.00	59
1.01	60
1.02	63
1.03	69
1.04	74
1.05	82
1.06	88
1.07	94
1.08	100
1.09	107
1.10	111
1.11	120
1.12	126
1.13	130
1.14	138
1.15	149
1.16	157
1.17	164
1.18	178
1.19	185
1.20	191
1.21	197
1.22	214
1.23	221
1.24	230
1.25	237
1.26	249
1.27	259
1.28	274
1.29	288
1.30	301
1.31	311
1.32	324
1.33	329
1.34	342
1.35	351
1.36	371
1.37	384
1.38	402
1.39	410
1.40	422
1.41	438
1.42	449
1.43	465
1.44	479
1.45	490
1.46	506
1.47	515
1.48	530
1.49	545
1.50	556
1.51	569
1.52	587
1.53	602
1.54	617
1.55	630
1.56	641
1.57	662
1.58	685
1.59	703
1.60	718
1.61	733
1.62	756
1.63	769
1.64	783
1.65	804
1.66	825
1.67	844
1.68	857
1.69	880
1.70	895
1.71	910
1.72	927
1.73	950
1.74	973
1.75	991
1.76	1010
1.77	1022
1.78	1039
1.79	1064
1.80	1085
1.81	1099
1.82	1118
1.83	1137
1.84	1151
1.85	1172
1.86	1193
1.87	1218
1.88	1233
1.89	1251
1.90	1267
1.91	1283
1.92	1303
1.93	1324
1.94	1342
1.95	1364
1.96	1382
1.97	1400
1.98	1424
1.99	1449
2.00	1464
2.01	1479
2.02	1508
2.03	1521
2.04	1539
2.05	1562
2.06	1592
2.07	1611
2.08	1629
2.09	1659
2.10	1684
2.11	1707
2.12	1725
2.13	1747
2.14	1769
2.15	1790
2.16	1807
2.17	1821
2.18	1843
2.19	1872
2.20	1884
2.21	1899
2.22	1917
2.23	1935
2.24	1957
2.25	1984
2.26	2004
2.27	2023
2.28	2040
2.29	2060
2.30	2076
2.31	2102
2.32	2124
2.33	2146
2.34	2164
2.35	2183
2.36	2193
2.37	2211
2.38	2226
2.39	2243
2.40	2267
2.41	2294
2.42	2316
2.43	2336
2.44	2353
2.45	2367
2.46	2385
2.47	2406
2.48	2420
2.49	2445
2.50	2472
2.51	2493
2.52	2514
2.53	2539
2.54	2556
2.55	2573
2.56	2598
2.57	2625
2.58	2646
2.59	2660
2.60	2677
2.61	2695
2.62	2709
2.63	2731
2.64	2752
2.65	2763
2.66	2784
2.67	2803
2.68	2822
2.69	2847
2.70	2870
2.71	2890
2.72	2910
2.73	2931
2.74	2953
2.75	2968
2.76	2998
2.77	3019
2.78	3041
2.79	3061
2.80	3081
2.81	3097
2.82	3114
2.83	3146
2.84	3168
2.85	3188
2.86	3205
2.87	3232
2.88	3256
2.89	3275
2.90	3292
2.91	3312
2.92	3327
2.93	3350
2.94	3376
2.95	3400
2.96	3423
2.97	3445
2.98	3468
2.99	3487
3.00	3509
3.01	3525
3.02	3539
3.03	3562
3.04	3579
3.05	3600
3.06	3623
3.07	3644
3.08	3660
3.09	3680
3.10	3695
3.11	3719
3.12	3743
3.13	3766
3.14	3779
3.15	3801
3.16	3827
3.17	3848
3.18	3869
3.19	3891
3.20	3913
3.21	3942
3.22	3961
3.23	3986
3.24	4004
3.25	4022
3.26	4047
3.27	4072
3.28	4088
3.29	4108
3.30	4125
3.31	4142
3.32	4166
3.33	4189
3.34	4206
3.35	4231
3.36	4249
3.37	4273
3.38	4294
3.39	4316
3.40	4338
3.41	4356
3.42	4377
3.43	4397
3.44	4415
3.45	4436
3.46	4460
3.47	4482
3.48	4501
3.49	4529
3.50	4550
3.51	4569
3.52	4595
3.53	4618
3.54	4642
3.55	4665
3.56	4680
3.57	4696
3.58	4720
3.59	4750
3.60	4772
3.61	4793
3.62	4821
3.63	4844
3.64	4864
3.65	4886
3.66	4905
3.67	4917
3.68	4943
3.69	4970
3.70	4988
3.71	5009
3.72	5030
3.73	5052
3.74	5072
3.75	5092
3.76	5107
3.77	5118
3.78	5139
3.79	5156
3.80	5183
3.81	5215
3.82	5239
3.83	5266
3.84	5286
3.85	5307
3.86	5326
3.87	5349
3.88	5363
3.89	5398
3.90	5421
3.91	5439
3.92	5459
3.93	5478
3.94	5499
3.95	5515
3.96	5541
3.97	5558
3.98	5579
3.99	5600
4.00	5628
4.01	5647
4.02	5677
4.03	5705
4.04	5734
4.05	5749
4.06	5765
4.07	5789
4.08	5817
4.09	5830
4.10	5846
4.11	5870
4.12	5884
4.13	5909
4.14	5925
4.15	5948
4.16	5967
4.17	5984
4.18	6004
4.19	6028
4.20	6049
4.21	6071
4.22	6088
4.23	6112
4.24	6125
4.25	6149
4.26	6172
4.27	6189
4.28	6214
4.29	6238
4.30	6266
4.31	6294
4.32	6322
4.33	6345
4.34	6366
4.35	6397
4.36	6425
4.37	6457
4.38	6477
4.39	6502
4.40	6524
4.41	6555
4.42	6570
4.43	6586
4.44	6611
4.45	6629
4.46	6656
4.47	6680
4.48	6706
4.49	6730
4.50	6748
4.51	6767
4.52	6790
4.53	6811
4.54	6839
4.55	6870
4.56	6881
4.57	6895
4.58	6913
4.59	6933
4.60	6955
4.61	6987
4.62	7013
4.63	7033
4.64	7056
4.65	7077
4.66	7094
4.67	7114
4.68	7126
4.69	7147
4.70	7166
4.71	7186
4.72	7202
4.73	7229
4.74	7246
4.75	7271
4.76	7303
4.77	7336
4.78	7361
4.79	7379
4.80	7407
4.81	7425
4.82	7453
4.83	7485
4.84	7497
4.85	7514
4.86	7544
4.87	7566
4.88	7582
4.89	7602
4.90	7625
4.91	7646
4.92	7664
4.93	7684
4.94	7700
4.95	7721
4.96	7743
4.97	7756
4.98	7781
4.99	7798
5.00	7827
5.01	7855
5.02	7879
5.03	7899
5.04	7921
5.05	7942
5.06	7967
5.07	7994
5.08	8019
5.09	8044
5.10	8070
5.11	8089
5.12	8112
5.13	8139
5.14	8172
5.15	8198
5.16	8222
5.17	8252
5.18	8279
5.19	8313
5.20	8338
5.21	8361
5.22	8387
5.23	8408
5.24	8438
5.25	8461
5.26	8487
5.27	8519
5.28	8535
5.29	8554
5.30	8578
5.31	8602
5.32	8618
5.33	8642
5.34	8663
5.35	8691
5.36	8712
5.37	8743
5.38	8763
5.39	8790
5.40	8815
5.41	8842
5.42	8867
5.43	8883
5.44	8900
5.45	8934
5.46	8956
5.47	8982
5.48	9008
5.49	9033
5.50	9059
5.51	9085
5.52	9110
5.53	9139
5.54	9169
5.55	9189
5.56	9214
5.57	9244
5.58	9268
5.59	9292
5.60	9320
5.61	9347
5.62	9368
5.63	9391
5.64	9416
5.65	9438
5.66	9463
5.67	9476
5.68	9499
5.69	9523
5.70	9547
5.71	9574
5.72	9592
5.73	9610
5.74	9640
5.75	9673
5.76	9698
5.77	9721
5.78	9756
5.79	9774
5.80	9792
5.81	9807
5.82	9828
5.83	9850
5.84	9874
5.85	9897
5.86	9911
5.87	9934
5.88	9962
5.89	9988
5.90	10017
5.91	10036
5.92	10060
5.93	10089
5.94	10109
5.95	10139
5.96	10159
5.97	10184
5.98	10210
5.99	10227
6.00	10248
6.01	10268
6.02	10287
6.03	10309
6.04	10336
6.05	10355
6.06	10388
6.07	10414
6.08	10438
6.09	10451
6.10	10472
6.11	10490
6.12	10511
6.13	10530
6.14	10546
6.15	10563
6.16	10589
6.17	10609
6.18	10627
6.19	10653
6.20	10676
6.21	10693
6.22	10715
6.23	10732
6.24	10751
6.25	10770
6.26	10791
6.27	10819
6.28	10835
6.29	10853
6.30	10873
6.31	10888
6.32	10906
6.33	10928
6.34	10955
6.35	10970
6.36	10985
6.37	11017
6.38	11033
6.39	11062
6.40	11078
6.41	11099
6.42	11122
6.43	11144
6.44	11160
6.45	11179
6.46	11195
6.47	11215
6.48	11226
6.49	11253
6.50	11276
6.51	11294
6.52	11319
6.53	11339
6.54	11358
6.55	11387
6.56	11408
6.57	11427
6.58	11451
6.59	11472
6.60	11490
6.61	11509
6.62	11534
6.63	11547
6.64	11568
6.65	11590
6.66	11609
6.67	11631
6.68	11648
6.69	11667
6.70	11684
6.71	11695
6.72	11715
6.73	11733
6.74	11756
6.75	11780
6.76	11814
6.77	11832
6.78	11848
6.79	11872
6.80	11893
6.81	11913
6.82	11931
6.83	11949
6.84	11963
6.85	11978
6.86	12003
6.87	12023
6.88	12036
6.89	12049
6.90	12063
6.91	12082
6.92	12105
6.93	12125
6.94	12143
6.95	12166
6.96	12183
6.97	12202
6.98	12223
6.99	12245
7.00	12258
7.01	12275
7.02	12289
7.03	12308
7.04	12317
7.05	12332
7.06	12359
7.07	12369
7.08	12387
7.09	12406
7.10	12421
7.11	12434
7.12	12450
7.13	12469
7.14	12481
7.15	12498
7.16	12516
7.17	12530
7.18	12544
7.19	12557
7.20	12573
7.21	12592
7.22	12608
7.23	12631
7.24	12643
7.25	12661
7.26	12677
7.27	12697
7.28	12711
7.29	12723
7.30	12741
7.31	12761
7.32	12776
7.33	12797
7.34	12812
7.35	12830
7.36	12845
7.37	12860
7.38	12875
7.39	12894
7.40	12908
7.41	12915
7.42	12931
7.43	12947
7.44	12961
7.45	12976
7.46	12985
7.47	13001
7.48	13010
7.49	13028
7.50	13047
7.51	13070
7.52	13082
7.53	13097
7.54	13111
7.55	13121
7.56	13132
7.57	13140
7.58	13160
7.59	13177
7.60	13195
7.61	13210
7.62	13218
7.63	13229
7.64	13253
7.65	13270
7.66	13279
7.67	13298
7.68	13309
7.69	13321
7.70	13333
7.71	13346
7.72	13364
7.73	13374
7.74	13389
7.75	13410
7.76	13426
7.77	13432
7.78	13443
7.79	13457
7.80	13466
7.81	13479
7.82	13490
7.83	13497
7.84	13511
7.85	13524
7.86	13537
7.87	13552
7.88	13560
7.89	13575
7.90	13586
7.91	13597
7.92	13614
7.93	13622
7.94	13626
7.95	13640
7.96	13648
7.97	13662
7.98	13675
7.99	13687
8.00	13698
8.01	13713
8.02	13725
8.03	13739
8.04	13765
8.05	13775
8.06	13786
8.07	13798
8.08	13809
8.09	13821
8.10	13827
8.11	13838
8.12	13850
8.13	13862
8.14	13872
8.15	13885
8.16	13889
8.17	13900
8.18	13909
8.19	13915
8.20	13929
8.21	13938
8.22	13946
8.23	13953
8.24	13957
8.25	13965
8.26	13976
8.27	13983
8.28	13997
8.29	14008
8.30	14014
8.31	14019
8.32	14032
8.33	14041
8.34	14044
8.35	14055
8.36	14062
8.37	14071
8.38	14088
8.39	14091
8.40	14098
8.41	14108
8.42	14117
8.43	14125
8.44	14137
8.45	14145
8.46	14150
8.47	14159
8.48	14166
8.49	14177
8.50	14181
8.51	14185
8.52	14198
8.53	14204
8.54	14216
8.55	14231
8.56	14241
8.57	14252
8.58	14261
8.59	14274
8.60	14279
8.61	14289
8.62	14297
8.63	14305
8.64	14312
8.65	14324
8.66	14328
8.67	14337
8.68	14344
8.69	14351
8.70	14355
8.71	14359
8.72	14373
8.73	14380
8.74	14386
8.75	14398
8.76	14404
8.77	14408
8.78	14415
8.79	14423
8.80	14427
8.81	14437
8.82	14443
8.83	14446
8.84	14453
8.85	14456
8.86	14458
8.87	14464
8.88	14466
8.89	14468
8.90	14474
8.91	14476
8.92	14485
8.93	14495
8.94	14498
8.95	14503
8.96	14512
8.97	14520
8.98	14524
8.99	14534
9.00	14540
9.01	14547
9.02	14550
9.03	14556
9.04	14556
9.05	14565
9.06	14568
9.07	14574
9.08	14579
9.09	14581
9.10	14585
9.11	14590
9.12	14595
9.13	14601
9.14	14608
9.15	14616
9.16	14620
9.17	14625
9.18	14629
9.19	14632
9.20	14642
9.21	14643
9.22	14650
9.23	14658
9.24	14668
9.25	14672
9.26	14676
9.27	14682
9.28	14689
9.29	14692
9.30	14700
9.31	14707
9.32	14709
9.33	14711
9.34	14713
9.35	14713
9.36	14720
9.37	14723
9.38	14728
9.39	14735
9.40	14739
9.41	14743
9.42	14746
9.43	14748
9.44	14752
9.45	14755
9.46	14758
9.47	14763
9.48	14766
9.49	14769
9.50	14770
9.51	14772
9.52	14775
9.53	14778
9.54	14780
9.55	14782
9.56	14785
9.57	14789
9.58	14794
9.59	14797
9.60	14800
9.61	14802
9.62	14808
9.63	14811
9.64	14813
9.65	14820
9.66	14821
9.67	14821
9.68	14824
9.69	14827
9.70	14829
9.71	14831
9.72	14833
9.73	14834
9.74	14834
9.75	14835
9.76	14838
9.77	14843
9.78	14845
9.79	14847
9.80	14853
9.81	14856
9.82	14857
9.83	14860
9.84	14862
9.85	14866
9.86	14870
9.87	14872
9.88	14873
9.89	14873
9.90	14875
9.91	14877
9.92	14879
9.93	14880
9.94	14883
9.95	14886
9.96	14889
9.97	14894
9.98	14898
9.99	14900
10.00	14902
10.01	14904
10.02	14912
10.03	14914
10.04	14915
10.05	14916
10.06	14918
10.07	14919
10.08	14920
10.09	14920
10.10	14920
10.11	14922
10.12	14924
10.13	14924
10.14	14926
10.15	14930
10.16	14931
10.17	14936
10.18	14938
10.19	14939
10.20	14939
10.21	14940
10.22	14941
10.23	14942
10.24	14946
10.25	14947
10.26	14950
10.27	14952
10.28	14953
10.29	14953
10.30	14955
10.31	14955
10.32	14956
10.33	14958
10.34	14958
10.35	14958
10.36	14959
10.37	14959
10.38	14960
10.39	14961
10.40	14965
10.41	14968
10.42	14969
10.43	14972
10.44	14974
10.45	14976
10.46	14977
10.47	14978
10.48	14978
10.49	14979
10.50	14979
10.51	14979
10.52	14981
10.53	14983
10.54	14985
10.55	14985
10.56	14985
10.57	14989
10.58	14991
10.59	14992
10.60	14992
10.61	14993
10.62	14994
10.63	14996
10.64	14997
10.65	14997
10.66	14997
10.67	14997
10.68	14999
10.69	15000
10.70	15001
10.71	15002
10.72	15002
10.73	15003
10.74	15005
10.75	15007
10.76	15008
10.77	15008
10.78	15009
10.79	15009
10.80	15009
10.81	15010
10.82	15011
10.83	15012
10.84	15013
10.85	15013
10.86	15014
10.87	15014
10.88	15014
10.89	15015
10.90	15015
10.91	15017
10.92	15017
10.93	15018
10.94	15020
10.95	15022
10.96	15022
10.97	15025
10.98	15025
10.99	15025
11.00	15025
11.01	15025
11.02	15025
11.03	15025
11.04	15025
11.05	15026
11.06	15027
11.07	15027
11.08	15027
11.09	15027
11.10	15027
11.11	15028
11.12	15028
11.13	15029
11.14	15030
11.15	15031
11.16	15032
11.17	15032
