interval	nofgenes_jan	nofgenes_gte	nofgenes_tcgan
0.00	0	0	0
0.01	0	18	1
0.02	0	63	1
0.03	0	118	9
0.04	0	161	11
0.05	0	211	15
0.06	0	240	23
0.07	0	261	29
0.08	0	286	31
0.09	0	309	34
0.10	0	326	39
0.11	0	344	45
0.12	0	359	50
0.13	0	377	56
0.14	0	396	62
0.15	0	410	66
0.16	0	425	71
0.17	0	435	75
0.18	0	439	79
0.19	0	453	81
0.20	0	467	85
0.21	0	472	87
0.22	0	483	88
0.23	0	494	90
0.24	0	500	92
0.25	0	515	96
0.26	0	526	101
0.27	0	535	103
0.28	0	541	105
0.29	0	552	108
0.30	0	561	115
0.31	0	571	118
0.32	0	580	122
0.33	0	585	126
0.34	0	601	128
0.35	0	607	131
0.36	0	616	132
0.37	0	629	133
0.38	0	636	135
0.39	0	650	138
0.40	0	657	142
0.41	0	666	145
0.42	0	674	146
0.43	0	684	147
0.44	0	695	150
0.45	0	704	154
0.46	0	713	154
0.47	0	721	157
0.48	0	735	159
0.49	0	741	164
0.50	0	748	168
0.51	0	755	170
0.52	0	762	172
0.53	0	771	174
0.54	0	781	176
0.55	0	789	182
0.56	0	796	183
0.57	0	802	185
0.58	0	814	187
0.59	0	821	189
0.60	0	832	189
0.61	0	838	194
0.62	0	845	194
0.63	0	855	195
0.64	0	864	196
0.65	0	871	197
0.66	0	888	200
0.67	0	896	201
0.68	0	902	202
0.69	1	912	208
0.70	1	914	208
0.71	2	924	209
0.72	2	930	213
0.73	3	938	214
0.74	3	949	215
0.75	4	954	221
0.76	4	959	222
0.77	4	962	222
0.78	4	971	222
0.79	6	981	225
0.80	7	990	228
0.81	7	998	228
0.82	7	1007	231
0.83	8	1015	234
0.84	10	1028	236
0.85	12	1035	237
0.86	14	1042	237
0.87	14	1052	239
0.88	15	1064	241
0.89	16	1072	243
0.90	23	1080	247
0.91	25	1087	251
0.92	28	1098	253
0.93	33	1106	253
0.94	37	1117	254
0.95	39	1130	255
0.96	42	1146	257
0.97	48	1153	258
0.98	53	1160	261
0.99	54	1172	261
1.00	59	1173	263
1.01	60	1184	267
1.02	63	1189	267
1.03	69	1206	269
1.04	74	1214	271
1.05	82	1226	272
1.06	88	1233	276
1.07	94	1240	276
1.08	100	1247	278
1.09	107	1258	280
1.10	111	1264	281
1.11	120	1272	284
1.12	126	1284	287
1.13	130	1294	287
1.14	138	1303	289
1.15	149	1311	291
1.16	157	1323	293
1.17	164	1340	294
1.18	178	1346	296
1.19	185	1358	301
1.20	191	1365	306
1.21	197	1373	308
1.22	214	1379	308
1.23	221	1388	309
1.24	230	1396	310
1.25	237	1407	315
1.26	249	1413	317
1.27	259	1426	319
1.28	274	1436	320
1.29	288	1451	323
1.30	301	1461	328
1.31	311	1468	329
1.32	324	1480	331
1.33	329	1495	332
1.34	342	1502	335
1.35	351	1512	336
1.36	371	1527	337
1.37	384	1536	338
1.38	402	1550	341
1.39	410	1565	343
1.40	422	1575	344
1.41	438	1591	346
1.42	449	1600	348
1.43	465	1606	350
1.44	479	1620	353
1.45	490	1633	355
1.46	506	1643	357
1.47	515	1664	357
1.48	530	1673	357
1.49	545	1685	359
1.50	556	1694	363
1.51	569	1703	366
1.52	587	1718	367
1.53	602	1722	370
1.54	617	1728	371
1.55	630	1732	373
1.56	641	1740	374
1.57	662	1751	379
1.58	685	1763	383
1.59	703	1771	384
1.60	718	1780	386
1.61	733	1794	391
1.62	756	1802	394
1.63	769	1808	394
1.64	783	1819	397
1.65	804	1835	398
1.66	825	1847	399
1.67	844	1861	400
1.68	857	1874	402
1.69	880	1889	404
1.70	895	1900	404
1.71	910	1912	406
1.72	927	1925	407
1.73	950	1938	410
1.74	973	1949	412
1.75	991	1960	415
1.76	1010	1967	415
1.77	1022	1979	418
1.78	1039	1987	418
1.79	1064	2000	420
1.80	1085	2013	421
1.81	1099	2030	425
1.82	1118	2042	428
1.83	1137	2060	431
1.84	1151	2069	432
1.85	1172	2079	435
1.86	1193	2088	437
1.87	1218	2096	440
1.88	1233	2107	442
1.89	1251	2119	444
1.90	1267	2131	445
1.91	1283	2145	447
1.92	1303	2159	448
1.93	1324	2171	452
1.94	1342	2181	455
1.95	1364	2195	459
1.96	1382	2206	461
1.97	1400	2227	462
1.98	1424	2247	464
