interval	nofgenes
0.00	0
0.01	18
0.02	63
0.03	118
0.04	161
0.05	211
0.06	240
0.07	261
0.08	286
0.09	309
0.10	326
0.11	344
0.12	359
0.13	377
0.14	396
0.15	410
0.16	425
0.17	435
0.18	439
0.19	453
0.20	467
0.21	472
0.22	483
0.23	494
0.24	500
0.25	515
0.26	526
0.27	535
0.28	541
0.29	552
0.30	561
0.31	571
0.32	580
0.33	585
0.34	601
0.35	607
0.36	616
0.37	629
0.38	636
0.39	650
0.40	657
0.41	666
0.42	674
0.43	684
0.44	695
0.45	704
0.46	713
0.47	721
0.48	735
0.49	741
0.50	748
0.51	755
0.52	762
0.53	771
0.54	781
0.55	789
0.56	796
0.57	802
0.58	814
0.59	821
0.60	832
0.61	838
0.62	845
0.63	855
0.64	864
0.65	871
0.66	888
0.67	896
0.68	902
0.69	912
0.70	914
0.71	924
0.72	930
0.73	938
0.74	949
0.75	954
0.76	959
0.77	962
0.78	971
0.79	981
0.80	990
0.81	998
0.82	1007
0.83	1015
0.84	1028
0.85	1035
0.86	1042
0.87	1052
0.88	1064
0.89	1072
0.90	1080
0.91	1087
0.92	1098
0.93	1106
0.94	1117
0.95	1130
0.96	1146
0.97	1153
0.98	1160
0.99	1172
1.00	1173
1.01	1184
1.02	1189
1.03	1206
1.04	1214
1.05	1226
1.06	1233
1.07	1240
1.08	1247
1.09	1258
1.10	1264
1.11	1272
1.12	1284
1.13	1294
1.14	1303
1.15	1311
1.16	1323
1.17	1340
1.18	1346
1.19	1358
1.20	1365
1.21	1373
1.22	1379
1.23	1388
1.24	1396
1.25	1407
1.26	1413
1.27	1426
1.28	1436
1.29	1451
1.30	1461
1.31	1468
1.32	1480
1.33	1495
1.34	1502
1.35	1512
1.36	1527
1.37	1536
1.38	1550
1.39	1565
1.40	1575
1.41	1591
1.42	1600
1.43	1606
1.44	1620
1.45	1633
1.46	1643
1.47	1664
1.48	1673
1.49	1685
1.50	1694
1.51	1703
1.52	1718
1.53	1722
1.54	1728
1.55	1732
1.56	1740
1.57	1751
1.58	1763
1.59	1771
1.60	1780
1.61	1794
1.62	1802
1.63	1808
1.64	1819
1.65	1835
1.66	1847
1.67	1861
1.68	1874
1.69	1889
1.70	1900
1.71	1912
1.72	1925
1.73	1938
1.74	1949
1.75	1960
1.76	1967
1.77	1979
1.78	1987
1.79	2000
1.80	2013
1.81	2030
1.82	2042
1.83	2060
1.84	2069
1.85	2079
1.86	2088
1.87	2096
1.88	2107
1.89	2119
1.90	2131
1.91	2145
1.92	2159
1.93	2171
1.94	2181
1.95	2195
1.96	2206
1.97	2227
1.98	2247
1.99	2260
2.00	2277
2.01	2285
2.02	2305
2.03	2319
2.04	2333
2.05	2345
2.06	2351
2.07	2369
2.08	2381
2.09	2387
2.10	2395
2.11	2411
2.12	2429
2.13	2447
2.14	2460
2.15	2474
2.16	2482
2.17	2499
2.18	2514
2.19	2526
2.20	2541
2.21	2559
2.22	2573
2.23	2591
2.24	2608
2.25	2623
2.26	2629
2.27	2639
2.28	2655
2.29	2676
2.30	2687
2.31	2700
2.32	2720
2.33	2740
2.34	2758
2.35	2773
2.36	2789
2.37	2805
2.38	2821
2.39	2840
2.40	2860
2.41	2880
2.42	2902
2.43	2917
2.44	2931
2.45	2944
2.46	2962
2.47	2978
2.48	2993
2.49	3006
2.50	3033
2.51	3050
2.52	3069
2.53	3085
2.54	3108
2.55	3133
2.56	3149
2.57	3172
2.58	3192
2.59	3214
2.60	3235
2.61	3259
2.62	3276
2.63	3298
2.64	3318
2.65	3336
2.66	3355
2.67	3377
2.68	3400
2.69	3423
2.70	3444
2.71	3467
2.72	3493
2.73	3507
2.74	3524
2.75	3547
2.76	3557
2.77	3579
2.78	3597
2.79	3622
2.80	3639
2.81	3660
2.82	3685
2.83	3708
2.84	3736
2.85	3762
2.86	3784
2.87	3804
2.88	3827
2.89	3851
2.90	3865
2.91	3894
2.92	3921
2.93	3937
2.94	3969
2.95	3992
2.96	4016
2.97	4053
2.98	4079
2.99	4108
3.00	4124
3.01	4149
3.02	4173
3.03	4194
3.04	4207
3.05	4229
3.06	4246
3.07	4270
3.08	4300
3.09	4325
3.10	4353
3.11	4381
3.12	4406
3.13	4431
3.14	4458
3.15	4485
