interval	nofgenes
0.00	0
0.01	1
0.02	1
0.03	9
0.04	11
0.05	15
0.06	23
0.07	29
0.08	31
0.09	34
0.10	39
0.11	45
0.12	50
0.13	56
0.14	62
0.15	66
0.16	71
0.17	75
0.18	79
0.19	81
0.20	85
0.21	87
0.22	88
0.23	90
0.24	92
0.25	96
0.26	101
0.27	103
0.28	105
0.29	108
0.30	115
0.31	118
0.32	122
0.33	126
0.34	128
0.35	131
0.36	132
0.37	133
0.38	135
0.39	138
0.40	142
0.41	145
0.42	146
0.43	147
0.44	150
0.45	154
0.46	154
0.47	157
0.48	159
0.49	164
0.50	168
0.51	170
0.52	172
0.53	174
0.54	176
0.55	182
0.56	183
0.57	185
0.58	187
0.59	189
0.60	189
0.61	194
0.62	194
0.63	195
0.64	196
0.65	197
0.66	200
0.67	201
0.68	202
0.69	208
0.70	208
0.71	209
0.72	213
0.73	214
0.74	215
0.75	221
0.76	222
0.77	222
0.78	222
0.79	225
0.80	228
0.81	228
0.82	231
0.83	234
0.84	236
0.85	237
0.86	237
0.87	239
0.88	241
0.89	243
0.90	247
0.91	251
0.92	253
0.93	253
0.94	254
0.95	255
0.96	257
0.97	258
0.98	261
0.99	261
1.00	263
1.01	267
1.02	267
1.03	269
1.04	271
1.05	272
1.06	276
1.07	276
1.08	278
1.09	280
1.10	281
1.11	284
1.12	287
1.13	287
1.14	289
1.15	291
1.16	293
1.17	294
1.18	296
1.19	301
1.20	306
1.21	308
1.22	308
1.23	309
1.24	310
1.25	315
1.26	317
1.27	319
1.28	320
1.29	323
1.30	328
1.31	329
1.32	331
1.33	332
1.34	335
1.35	336
1.36	337
1.37	338
1.38	341
1.39	343
1.40	344
1.41	346
1.42	348
1.43	350
1.44	353
1.45	355
1.46	357
1.47	357
1.48	357
1.49	359
1.50	363
1.51	366
1.52	367
1.53	370
1.54	371
1.55	373
1.56	374
1.57	379
1.58	383
1.59	384
1.60	386
1.61	391
1.62	394
1.63	394
1.64	397
1.65	398
1.66	399
1.67	400
1.68	402
1.69	404
1.70	404
1.71	406
1.72	407
1.73	410
1.74	412
1.75	415
1.76	415
1.77	418
1.78	418
1.79	420
1.80	421
1.81	425
1.82	428
1.83	431
1.84	432
1.85	435
1.86	437
1.87	440
1.88	442
1.89	444
1.90	445
1.91	447
1.92	448
1.93	452
1.94	455
1.95	459
1.96	461
1.97	462
1.98	464
1.99	465
2.00	467
2.01	468
2.02	471
2.03	475
2.04	475
2.05	475
2.06	476
2.07	477
2.08	478
2.09	479
2.10	482
2.11	483
2.12	489
2.13	489
2.14	494
2.15	496
2.16	498
2.17	499
2.18	500
2.19	505
2.20	510
2.21	512
2.22	514
2.23	517
2.24	520
2.25	521
2.26	523
2.27	527
2.28	530
2.29	533
2.30	536
2.31	538
2.32	541
2.33	542
2.34	543
2.35	543
2.36	543
2.37	544
2.38	545
2.39	546
2.40	547
2.41	549
2.42	551
2.43	551
2.44	552
2.45	554
2.46	555
2.47	557
2.48	558
2.49	560
2.50	563
2.51	567
2.52	568
2.53	571
2.54	572
2.55	573
2.56	574
2.57	578
2.58	583
2.59	585
2.60	588
2.61	589
2.62	589
2.63	590
2.64	593
2.65	595
2.66	596
2.67	598
2.68	598
2.69	601
2.70	602
2.71	604
2.72	608
2.73	610
2.74	613
2.75	615
2.76	618
2.77	620
2.78	621
2.79	625
2.80	629
2.81	631
2.82	632
2.83	633
2.84	637
2.85	639
2.86	639
2.87	643
2.88	645
2.89	645
2.90	647
2.91	650
2.92	652
2.93	655
2.94	657
2.95	658
2.96	661
2.97	664
2.98	666
2.99	668
3.00	669
3.01	672
3.02	674
3.03	675
3.04	680
3.05	681
3.06	682
3.07	685
3.08	689
3.09	690
3.10	692
3.11	695
3.12	699
3.13	702
3.14	704
3.15	706
3.16	708
3.17	709
3.18	715
3.19	715
3.20	717
3.21	718
3.22	718
3.23	723
3.24	723
3.25	725
3.26	727
3.27	728
3.28	734
3.29	738
3.30	741
3.31	743
3.32	745
3.33	745
3.34	747
3.35	748
3.36	751
3.37	753
3.38	757
3.39	761
3.40	762
3.41	765
3.42	768
3.43	770
3.44	772
3.45	774
3.46	778
3.47	778
3.48	780
3.49	781
3.50	782
3.51	784
3.52	789
3.53	790
3.54	795
3.55	797
3.56	799
3.57	803
3.58	805
3.59	807
3.60	808
3.61	813
3.62	815
3.63	818
3.64	821
3.65	824
3.66	826
3.67	829
3.68	834
3.69	834
3.70	836
3.71	837
3.72	840
3.73	843
3.74	847
3.75	849
3.76	850
3.77	850
3.78	851
3.79	854
3.80	854
3.81	854
3.82	856
3.83	856
3.84	858
3.85	860
3.86	862
3.87	864
3.88	864
3.89	867
3.90	867
3.91	870
3.92	874
3.93	875
3.94	876
3.95	877
3.96	880
3.97	883
3.98	885
3.99	886
4.00	886
4.01	888
4.02	895
4.03	896
4.04	900
4.05	902
4.06	902
4.07	903
4.08	904
4.09	907
4.10	913
4.11	918
4.12	919
4.13	923
4.14	929
4.15	932
4.16	934
4.17	935
4.18	938
4.19	941
4.20	943
4.21	946
4.22	949
4.23	956
4.24	959
4.25	963
4.26	966
4.27	969
4.28	973
4.29	974
4.30	974
4.31	976
4.32	978
4.33	979
4.34	981
4.35	985
4.36	987
4.37	990
4.38	992
4.39	995
4.40	996
4.41	999
4.42	1000
4.43	1002
4.44	1005
4.45	1006
4.46	1012
4.47	1017
4.48	1019
4.49	1021
4.50	1022
4.51	1023
4.52	1024
4.53	1026
4.54	1028
4.55	1032
4.56	1033
4.57	1033
4.58	1035
4.59	1036
4.60	1039
4.61	1041
4.62	1047
4.63	1049
4.64	1050
4.65	1051
4.66	1053
4.67	1053
4.68	1055
4.69	1057
4.70	1059
4.71	1059
4.72	1061
4.73	1066
4.74	1069
4.75	1073
4.76	1073
4.77	1077
4.78	1078
4.79	1081
4.80	1083
4.81	1088
4.82	1091
4.83	1093
4.84	1097
4.85	1099
4.86	1100
4.87	1104
4.88	1107
4.89	1109
4.90	1110
4.91	1115
4.92	1117
4.93	1123
4.94	1127
4.95	1128
4.96	1129
4.97	1133
4.98	1133
4.99	1135
5.00	1138
5.01	1142
5.02	1143
5.03	1145
5.04	1147
