gene_id	expr_jan	expr_gte	expr_tcgan	satisf_jan	satisf_gte	satisf_tcgan	curr_sel	member_code
23631	2.594	8.184	14.406	1	0	1	0	1
23632	1.068	4.303	10.3	0	0	1	0	1
23633	6.103	10.397	15.473	1	0	1	0	1
23634	2.013	5.479	6.658	1	0	1	0	1
23635	3.582	8.147	11.237	1	0	1	0	1
23636	1.638	5.005	10.495	1	0	1	0	1
23637	6.328	5.937	10.707	1	0	1	0	1
23638	6.388	3.36	10.366	1	0	1	0	1
23639	2.707	0.978	5.059	1	1	0	0	1
23640	2.57	7.595	12.09	1	0	1	0	1
23641	1.407	3.53	2.238	0	0	0	0	1
23642	2.185	1.095	0.741	1	1	0	0	1
23643	6.536	3.046	8.736	1	0	1	0	1
23644	2.97	3.407	8.201	1	0	1	0	1
23645	5.259	4.035	10.625	1	0	1	0	1
23646	7.622	3.736	11.823	1	0	1	0	1
23647	5.577	5.066	9.8	1	0	1	0	1
23648	6.318	5.948	11.765	1	0	1	0	1
23649	2.534	0.658	2.155	1	1	0	0	6
23650	6.847	4.445	11.186	1	0	1	0	1
23651	6.469	3.429	8.385	1	0	1	0	1
23652	6.446	6.364	12.623	1	0	1	0	1
23653	3.319	2.998	10.507	1	0	1	0	1
23654	4.111	2.868	8.965	1	0	1	0	1
23655	6.124	5.499	10.65	1	0	1	0	1
23656	4.793	5.172	10.104	1	0	1	0	1
23657	6.649	4.552	11.556	1	0	1	0	1
23658	5.166	4.211	13.303	1	0	1	0	1
23659	5.4	4.831	11.135	1	0	1	0	1
23660	4.756	4.176	5.607	1	0	0	0	1
23661	3.757	3.123	7.4	1	0	1	0	1
23662	4.87	3.893	9.193	1	0	1	0	1
23663	4.661	1.035	9.117	1	1	1	1	1
23664	5.261	1.443	5.637	1	1	0	0	1
23665	3.884	7.171	12.621	1	0	1	0	1
23666	7.411	6.111	12.152	1	0	1	0	1
23667	2.981	1.15	6.323	1	1	1	1	1
23668	7.358	4.435	9.918	1	0	1	0	1
23669	5.03	4.426	10.104	1	0	1	0	1
23670	2.482	5.806	10.677	1	0	1	0	1
23671	6.251	6.071	9.208	1	0	1	0	1
23672	5.072	5.024	6.656	1	0	1	0	1
23673	2.354	6.676	11.109	1	0	1	0	1
23674	3.035	3.377	10.193	1	0	1	0	1
23675	4.485	2.903	7.908	1	0	1	0	1
23676	2.572	4.421	10.835	1	0	1	0	1
23677	1.259	0.857	11.944	0	1	1	0	1
23678	6.683	5.481	10.5	1	0	1	0	1
23679	2.102	3.566	9.519	1	0	1	0	1
23680	4.83	4.094	10.619	1	0	1	0	1
23681	5.025	2.512	8.27	1	0	1	0	1
23682	7.832	4.769	12.251	1	0	1	0	1
23683	3.052	3.435	9.943	1	0	1	0	1
23684	4.084	1.083	10.82	1	1	1	1	1
23685	6.786	1.169	4.57	1	1	0	0	6
23686	1.521	0.833	3.61	0	1	0	0	1
23687	3.334	4.808	11.177	1	0	1	0	1
23688	5.043	6.469	13.111	1	0	1	0	1
23689	4.738	3.69	13.388	1	0	1	0	1
23690	5.639	5.252	12.044	1	0	1	0	1
23691	2.825	4.394	11.579	1	0	1	0	1
23692	3.626	3.204	9.066	1	0	1	0	1
23693	3.618	4.472	11.794	1	0	1	0	1
23694	2.387	2.414	7.212	1	0	1	0	1
23695	3.994	3.902	11.265	1	0	1	0	1
23696	5.07	4.266	10.748	1	0	1	0	1
23697	5.635	3.864	11.061	1	0	1	0	1
23698	7.468	5.038	11.834	1	0	1	0	1
23699	5.879	4.577	11.165	1	0	1	0	1
