expr_val	ids_jan	ids_gte	ids_tcgan
0.0	26965,29467,30786,31429,31557,32158,32376,32466,33283,33572,35489,35722,35723,36325,36428,37272,37402,38378,38553		
0.01	23851,23861,23864,24221,24918,25060,26634,26858,27519,27561,27751,28033,28092,28397,28823,28826,29031,29032,30448,30782,30785,30788,32351,32360,32366,32368,32428,33263,33285,33453,33525,34064,34185,35698,35721,35724,35782,36070,36080,36479,36753,37081,37272,37335,37561		
0.02	23865,23866,24396,24735,24962,25305,25326,25423,26535,26762,26763,26965,27299,28034,28430,28520,28756,28831,28943,30257,30473,30487,30711,30748,30777,30781,30784,31767,31997,32333,32337,32359,32362,32366,32368,32370,32375,32379,32416,32566,32670,33009,33260,33482,33571,34192,34271,35227,35569,35700,35700,35778,36245,36284,36631,36725,36955,37092,37163,37313,37645,37751,38049		
0.03	23831,23843,24967,25096,25224,25479,25818,26489,26643,26648,26853,27160,27447,28021,28059,28197,28694,29246,29295,30418,30442,30584,31432,31887,32330,32338,32344,32345,32347,32348,32353,32367,32371,32485,32563,33416,33763,34756,35701,35826,36283,36741,37067,37564,38500		
0.04	25145,25339,25496,25618,25731,25747,25802,26632,26646,27823,28017,28020,28107,28461,28701,28741,28822,29467,29761,30133,30448,30449,30489,30490,30778,30787,31341,31429,31728,32332,32334,32345,32351,32361,32363,32365,32483,32740,32983,33152,33382,33617,33618,33905,34691,35027,35304,35429,35697,35707,35719,35911,36834,36924		
0.05	23856,24694,25090,25314,25359,25726,26307,26568,26634,26647,27290,28017,28032,28396,28832,29293,30052,30746,31581,32284,32332,32335,32341,32360,32369,33264,33515,33603,35698,35699,35725,35910,36271,36438,36441,37335,37680		
0.06	25058,25101,25224,26069,26738,28445,29098,30139,30427,30450,30476,30790,31432,32336,32346,32358,32379,33284,33515,35064,35274,35686,35778,36080,36245,36250,36431		
0.07	23817,25203,25315,25673,25684,25718,26946,27291,27930,29260,30745,30789,32354,32377,32520,32994,33262,33451,33559,33597,34063,35749,35754,36741,36888,37436,37646		
0.08	23815,23853,25261,25296,27333,27980,29763,30725,31565,32337,32340,32347,32348,32355,32356,32357,32851,35299,35722,35909,36336,36359,36361,36766,37979,38634		
0.09	23832,24044,24264,24986,25295,25313,26635,28346,28448,28848,29339,32342,32485,33601,35566,35696,35782,36623,36766,36888,37809,38434		
0.1	24264,25167,25175,25384,25401,27259,28603,28763,29272,29273,29727,29865,30439,30471,32567,33261,33283,33785,34756,35207,36124,36818,37618,38115		
0.11	24595,25053,25335,26632,28436,28824,28848,29075,30626,32349,32370,32971,33260,35506,35701,36248,36620,37334,37713,37725		
0.12	23742,23814,23865,24552,24925,25145,25150,25388,26656,27120,28034,28783,29668,30451,30468,33287,33924,34444,35474,35686,36203,37163,38275,38543		
0.13	23803,23864,25355,25389,26641,26723,26832,26966,29635,29761,29764,29983,30482,30489,32342,34151,34676,35710,35931,36070,36271,36818,37206,38389,38650		
0.14	23816,25156,25411,25580,25618,26964,28821,29792,30456,30745,30779,31345,31977,35568,35893,36278,36458,36574		
0.15	23867,24214,25083,25314,27115,27117,27929,28060,29265,29767,30459,30490,32364,36278,36438,36439,36440,37644,38500,38651		
0.16	24918,25117,25164,25666,28021,28061,28653,29031,30449,31690,35734,37837,38580,38646		
0.17	24967,25130,25401,25971,26307,26763,29288,30473		
0.18	25053,25175,25721,28099,30428,32343,32565,34040,34310,34318,34575,35718,36012,36079,37200,37589		
0.19	24286,24472,26642,27838,28059,28060,28063,30472,31346,31509,32336,32339,32359,33074,34049,35738,35756,37834		
0.2	28741,32288,33135,34236,35961,38026,38673		
0.21	25029,27782,28359,28833,30465,32325,32486,34177,35683,35720,35961,36442		
0.22	24983,25156,25350,25366,25388,25580,25866,26736,27121,28035,29283,29762,30747		
0.23	25710,26568,29098,29289,31789,36839,37385,38652		
0.24	23803,27694,28447,29286,29298,29433,30020,30662,31671,31976,31979,32374,33296,35301,35506,35723,36277,36677,38502		
0.25	25668,26308,26848,28358,29762,30641,30783,32378,33286,33597,33603,33628,36284,36395,36620,38438		
0.26	25718,26612,26935,27958,29266,31426,32247,35681,35907,36375,38596		
0.27	23817,27839,27958,30474,30780,33021,34388,35666		
0.28	24262,24849,25702,26380,29150,30133,30467,30748,32361,32467,34285,34645,35216,37093		
0.29	23860,24209,27818,28653,29282,30368,30656,31652,31887,32227,32378,32566,33525,33785,37494,37837		
0.3	24275,25390,28014,30402,30485,31281,32352,32621,32670,32740,34055,36986,38646		
0.31	24884,26722,28092,28307,28609,28784,29074,29266,29767,32706,33263,35194,37526		
0.32	25818,26535,28193,28430,29466,31187,32371,33019,35641		
0.33	25015,25030,25092,25301,25648,26956,28612,28667,30419,31063,32618,33704,35719,36483,36623,36987,37647,37761		
0.34	28500,29032,29290,29434,29640,33295,33531,35227,35699		
0.35000000000000003	25328,26469,29246,29284,30663,31570,33596,34470,36362,36983		
0.36	24055,27956,29168,29261,30354,31350,31731,32281,32353,35228,36279,37411,37493,38508		
0.37	23861,29023,29760,29764,31039,31615,36909,37515,38534		
0.38	24207,25203,26617,27434,28825,29611,29661,30452,30474,33074,33302,33911,34420,34440,35341,36610,37313		
0.39	23831,25295,25408,27349,30470,31767,32377,33245,34805,35705,36404		
0.4	24962,28763,29984,30451,30500,30501,31309,32325,35417,35726,37680,37874		
0.41000000000000003	24523,25669,26645,28064,28628,28820,32340,35714,36352		
0.42	25090,25146,25216,25272,26034,28011,29393,29692,34612,36250,37904		
0.43	24132,24717,24773,26987,27333,27957,30436,30949,32317,32338,33795,36427,37564,37610		
0.44	24222,25802,26492,27086,30429,31984,31997,32281,35374,35710,36084,37067,37281		
0.45	23854,23855,25245,28189,29656,32432,34145,36902,38278		
0.46	25108,26563,27929,32063,32695,32835,34099,35893,36085,37823,38452		
0.47000000000000003	25153,25377,25950,26644,27156,27998,28197,29811,29922,29995,30356,31722,31730,32629,37089,37209		
0.48	23815,25326,26495,27181,32354,32369,32851,34098,35932,38240,38273		
0.49	24976,29271,29656,30257,30658,30746,32358,34829,35418,35747,36503		
0.5	25058,26765,29064,30747,32350,33926,34296,35746,35749		
0.51	24204,25088,30456,31341,32362,35300,35799,36984,37543		
0.52	25447,25981,26157,28432,30725,31980,33285,33299,34307,37131,38316		
0.53	23787,23832,26315,28227,28833,30649,31792,32619,32985,35113,35415,36243		
0.54	24273,25289,27448,28007,28033,28104,28701,30479,31370,32344,32466,36812,36834,37464		
0.55	23924,24554,25335,29499,33622,33920,34402,37561		
0.56	24208,28058,30584,31509,33541,33684,34731,36877		
0.5700000000000001	23793,24523,24916,28926,29270,29287,30488,31434,32094,32260,32650,35769,37824,37873		
0.58	24552,24810,25217,25260,25611,27835,33927,35572,37306		
0.59	24674,25582,25693,27860,28662,29335,29549,30353,36608,36767,37162		
0.6	26072,27952,27998,30949,32051,34310,34379,34731,37261,38049,38337		
0.61	24509,25061,25080,26862,29083,32001,32959		
0.62	24098,25354,25747,30465,31956,33602,34293,35196,36360,37035,38590		
0.63	25150,25928,26213,27733,29097,35491,35569,36412,37838,38387		
0.64	24250,24735,25265,25696,32462,35168,36112,37890		
0.65	23649,23975,24243,26641,27413,27930,27949,28721,28974,29845,30431,33007,33014,33284,34176,34429,34716,35713,36249,37271		
0.66	24884,24993,25319,25651,26611,27040,29669,36162,38254		
0.67	24213,24960,27142,29125,29952,31062,35724		
0.68	24550,27199,27694,28133,28147,28592,29596,30019,30368,30428,32367,33381,34575,36869,37524,37828,38676		
0.6900000000000001	25761,29951		
0.7000000000000001	23929,25663,29071,30112,30128,30434,32328,32335,33318,33686,37181,38232		
0.71	25305,25684,25709,26013,30168,30785,32748,33753,34047,36321		
0.72	27091,29594,29809,30058,30367,33416,34627,34895,35728,36959		
0.73	23917,25054,25327,26300,27441,28896,29339,33016,35814,37754,38261,38547		
0.74	23642,24345,26738,29269,29295,31557,32432,35378,35708,36831,37920,38650		
0.75	29192,35062,35484,35718,37426,38666		
0.76	25208,25714,26148		
0.77	26275,26940,28198,28260,29464,30444,31402,31981,34539		
0.78	24477,25656,27765,28080,28099,29974,32339,32838,33156,33288,33391,35865,36804,37143,38448		
0.79	24755,25218,25791,26880,27736,28376,28667,29142,30585,32636,34876,34971,38146		
0.8	27341,29653,29665,31003,31616,32835,36367,37220		
0.81	23862,25097,25101,25158,25749,27111,29005,32419,34131,37589,37907,38062		
0.8200000000000001	23890,24401,25428,26762,28058,28387,28515,30579,32330,36447,37140,37509		
0.8300000000000001	23686,25021,25263,25627,27260,27709,27904,28100,28168,28258,29635,31617,35104,35118,36283,37233,37905		
0.84	24220,25344,25980,28685,28990,30487,30854,31584,37493,37829		
0.85	23677,25102,25230,30480,32616,34185,34876,35927,38663		
0.86	23791,25447,30610,31508,31861,32331,32557,32610,35567,36440,36563,38633		
0.87	23935,26079,26185,28107,28670,28731,29272,33095,33468,34162,36377,37768,37993,38644,38655		
0.88	25155,25385,25422,25911,28010,28066,28236,28823,29075,36258,38377		
0.89	23871,24440,24810,25637,28204,28832,29839,30450,30460,30661,31092,31565,32288,34095,34794,35059,35428,38521,38644		
0.9	23973,24273,25303,25496,29293,29668,29959,31189,31884,32647,34222,34804,38026		
0.91	25487,25691,27922,28592,29947,30447,31436,31854,32047,32446,32484,32617,32995,33559,35304,36355		
0.92	25970,26028,28021,28514,31312,31431,34719,34903,35934,36766,37148,37168,38623		
0.93	25062,25249,26635,27134,27222,27296,30232,30832,31297,32286,34116,35772,36812,36883,38044,38511		
0.9400000000000001	25157,25558,26245,26546,26852,29392,30577,30621,32050,32613,33762,35435,36591,36725,36745,37042		
0.9500000000000001	24509,25204,25579,26846,27383,27442,27453,30469,32372,32587,33296,34585,35050,35052,35449,35748,36421,36887,37629,37725,38614		
0.96	27745,28394,29036,29088,30077,30443,31192,32330,33756,35165,35362,35481,38178,38416		
0.97	23639,24742,26313,27519,27880,28662,28804,30186,30227,30271,32034,33600,36213,36729,37035		
0.98	26725,26867,27978,28024,29231,29775,30116,30477,30904,31241,32469,34167,38330		
0.99	24595,25029,26346,28929,29806,34727,35134,36792		
1.0	23814,25105,25540,27785,29036,29260,31258,31731,32612,33259,35909,36124,36425,36429,37670,38570		
1.01	25049,25258,27132,29213,31442,34012,35991,37899		
1.02	24097,25152,25655,25900,26068,26754,27135,27138,27591,27827,28054,29265,30348,31024,31463,32527,33795,34259,34480,35403,36074,36157,36246,37164,37184		
1.03	23663,24946,29606,30408,32343,32364,32370,34203,34346,35368,36244,37079,37317,37419,37858		
1.04	24438,24774,25233,25632,25906,26016,26232,26918,27198,27593,27683,27828,29063,30073,31927,32333,33265,33321,34635,35382,36187		
1.05	25146,25702,27835,27948,28822,28825,28903,29150,29406,29640,30978,31261,32638,34991,36524,36877,37864		
1.06	23632,24226,24342,24887,26348,27667,28112,29445,30438,30543,32377,35102,37488		
1.07	24133,25678,26168,26736,27065,27907,28547,30375,31580,33290,35345,36249,36383,36955,37735		
1.08	23684,23902,25334,28833,29071,29899,30269,30712,31794,32277,32340,32606,32648,34702,34840,36084,36122,36127,36428,38610		
1.09	23642,24945,25278,25572,26422,30546,30624,34869,35150,35931,37637		
1.1	23839,23874,25423,28687,30268,30450,30500,31128,31181,31567,32984,33298,33331,33870,33873,34185,34380,35095,35778,38373		
1.11	24508,25315,26778,26786,27076,29044,29276,29291,31340,32607,32611,33289,34421,34428,34644,34793,35165,35216,35798,36873,38558		
1.12	25644,25650,26010,27305,27734,28177,28587,29634,31856,33694,34231,35166,35572,37438		
1.1300000000000001	25216,26175,26415,27336,27458,28522,29499,30222,30606,31251,32645,33749,33999,34426,36401,36524,36668,38474,38526		
1.1400000000000001	23667,24042,25186,26787,26956,27887,28721,30445,30720,30993,31540,32126,32179,32522,33847,34276,34954,35369,35421,36705,37798		
1.1500000000000001	24096,25072,25786,28630,28950,29324,29709,29766,29962,30254,30852,31884,32066,33595,34024,36825,36871,37411,37825,38447,38518,38672		
1.16	23685,25353,25638,25870,26389,26642,26863,27247,28073,28275,28992,30113,30944,32365,32844,33924,33965,34579,36540,36541,36662,36884,37505,37729,38600		
1.17	24332,24594,24746,25250,25257,25309,25752,26643,27554,28390,28543,29098,30287,32599,33523,35570,36659,37025,37077,38404,38648,38652		
1.18	23882,24023,24118,25103,25217,25672,25950,26408,27100,27980,28700,29178,29503,31191,31730,33103,34801,35371,35734,36402,36439,36832,37575,38522		
1.19	23787,24847,25666,26183,27137,27733,28152,28435,29648,31483,31709,31846,32483,33262,35096,35234,37870,38022		
1.2	23783,27604,27608,28170,28546,28943,30338,30479,31095,31350,32337,34256,36751,38003,38559,38632		
